keyword,judul,media,tanggal,link,isi_berita
SPPG Kota Banjarbaru Banjarbaru Utara Komet,"Cemari Lingkungan, Komisi III DPRD Banjarbaru Cek SPPG ‘Merah’",Kanal Kalimantan,"Thu, 12 Feb 2026 08:00:00 GMT",https://www.kanalkalimantan.com/cemari-lingkungan-komisi-iii-dprd-banjarbaru-cek-sppg-merah/,"KANALKALIMANTAN.COM, BANJARBARU – Komisi III DPRD Banjarbaru meninjau Satuan Pemenuhan Pelayanan Gizi (SPPG) yang diduga mencemari lingkungan dari limbah produksi dapur program Makan Bergizi Gratis (MBG), Kamis (12/2/2026) siang.

Empat SPPG dikunjungi Komisi III DPRD Banjarbaru menindak lanjuti pertemuan semua pengelola SPPG se Kota Banjarbaru dengan Dinas Lingkungan Hidup (DLH) Kota Banjarbaru, beberapa waktu lalu.

Pengecekan dapur MBG dipimpin langsung Ketua Komisi III DPRD Banjarbaru, Muham... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Banjarbaru Utara Komet,Warga Banjarbaru khawatir keberadaan dapur MBG di tengah permukiman,ANTARA News,"Wed, 24 Sep 2025 07:00:00 GMT",https://kalsel.antaranews.com/berita/485684/warga-banjarbaru-khawatir-keberadaan-dapur-mbg-di-tengah-permukiman,"Banjarbaru (ANTARA) - Sejumlah warga Kota Banjarbaru, Kalimantan Selatan, (Kalsel), mengkhawatirkan keberadaan Satuan Pelayanan Pemenuhan Gizi (SPPG) atau dapur program Makanan Bergizi Gratis (MBG) yang berdiri di tengah komplek perumahan karena berpotensi mengganggu ketenangan lingkungan.

""Kami tentu khawatir keberadaan dapur MBG di tengah permukiman bisa mengganggu ketenangan dan waktu istirahat,"" ujar Wahyono, warga Jalan Transad Perumahan Palam Indah, Cempaka Banjarbaru, Rabu.

Menurut pria... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Banjarbaru Utara Komet,"DKP3 Banjarbaru Awasi Program MBG, Pastikan Pangan Aman dan Gunakan Produk Lokal",Redaksi 8,"Fri, 30 Jan 2026 08:00:00 GMT",https://redaksi8.com/dkp3-banjarbaru-awasi-program-mbg-pastikan-pangan-aman-dan-gunakan-produk-lokal/,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://redaksi8.com/dkp3-banjarbaru-awasi-program-mbg-pastikan-pangan-aman-dan-gunakan-produk-lokal/]
SPPG Kota Banjarbaru Banjarbaru Utara Komet,Kodim 1006/Banjar Hadiri High Level Meeting TPID Kota Banjarbaru Tahun 2025,Redaksi 8,"Fri, 24 Oct 2025 07:00:00 GMT",https://redaksi8.com/kodim-1006-banjar-hadiri-high-level-meeting-tpid-kota-banjarbaru-tahun-2025/,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://redaksi8.com/kodim-1006-banjar-hadiri-high-level-meeting-tpid-kota-banjarbaru-tahun-2025/]
SPPG Kota Banjarbaru Banjarbaru Utara Komet,"Sejarah Lengkap Museum Lambung Mangkurat: Berdiri Sejak Zaman Kolonial, Ini Koleksi Andalannya",pojokbanua.com,"Tue, 27 Jul 2021 07:00:00 GMT",https://pojokbanua.com/sejarah-lengkap-museum-lambung-mangkurat-berdiri-sejak-zaman-kolonial-ini-koleksi-andalannya/,"POJOKBANUA, BANJARBARU – Museum Lambung Mangkurat, tempat bersejarah yang menyimpan sejuta koleksi barang berharga di dalamnya. Banyak benda peninggalan leluhur, baik bekas perjuangan maupun lainnya.

Museum ini berada di Jalan Jenderal Ahmad Yani Km.36,5 Kelurahan Komet Raya, Kecamatan Banjarbaru Utara, Kota Banjarbaru, Kalimantan Selatan (Kalsel).

Lambung Mangkurat diresmikan pada 10 Januari 1979 oleh Menteri Pendidikan dan Kebudayaan Republik Indonesia (Mendikbud), Dr Daoed Yoesoef.

Dulunya... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Banjarbaru Utara Komet,"Dua Aksi Penjambretan, Guru SD Meninggal Dunia, Susiati Hilang Uang Komite Rp 50 juta",Kanal Kalimantan,"Tue, 13 Feb 2018 08:00:00 GMT",https://www.kanalkalimantan.com/dua-aksi-penjambretan-guru-sd-meninggal-dunia-susiati-hilang-uang-komite-rp-50-juta/,"BANJARBARU, Hj Darmiah, seorang guru sekolah dasar di kota Banjarbaru jadi korban penjambretan. Sempat dilarikan ke rumah sakit Hj Darmiah hembuskan nafas terakhir, setelah terjatuh dari sepeda motor saat dijambret.

Kejadian penjambretan terhadap Hj Darmiah, terjadi Minggu (11/2) sekitar pukul 09.00 Wita di Jalan Wijaya Kusuma -depan TK Sandi Putra-, Kelurahan Komet, Kecamatan Banjarbaru Utara, Kota Banjarbaru.

Menurut keterangan saksi mata, saat itu korban Hj Darmiah (64) sedang pulang dari p... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Banjarbaru Utara Komet,"Sudah Ada 20 SPPG di Banjarbaru Kalsel, Salurkan MBG ke 17.109 Siswa",Tribunnews.com,"Fri, 19 Sep 2025 07:00:00 GMT",https://banjarmasin.tribunnews.com/kalsel/1330642/sudah-ada-20-sppg-di-banjarbaru-kalsel-salurkan-mbg-ke-17109-siswa,"BANJARMASINPOST.CO.ID, BANJARBARU - Satuan Pelayanan Pemenuhan Gizi (SPPG) di Kota Banjarbaru menyalurkan Program MBG 2025, mulai dari wilayah Sungai Besar, Cempaka, Landasan Ulin, hingga Komet.

Berdasarkan data yang dihimpun, tercatat sejumlah SPPG yang berkolaborasi dengan yayasan menyalurkan MBG ke lembaga pendidikan tersebar di lima kecamatan di Banjarbaru.

Misalnya SPPG Sungai Besar 1 yang dikelola Yayasan Taman Pendidikan Islam Ar-Rahman, berlokasi di Jalan Pramaban, serta SPPG Sungai Be... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Banjarbaru Utara Komet,"Inilah Sosok H Nurkhalis Anshari, Politisi PKS yang Memutuskan Maju Dalam Kontestasi Pilkada Banjarbaru 2024",Newsway,"Thu, 30 May 2024 07:00:00 GMT",https://newsway.co.id/inilah-sosok-h-nurkhalis-anshari-politisi-pks-yang-memutuskan-maju-dalam-kontestasi-pilkada-banjarbaru-2024/,"NEWSWAY.ID, BANJARBARU – Tokoh politik yang satu ini usianya baru 38 tahun, tapi sepak terjangnya didunia politik tidak bisa dipandang sebelah mata.

Beliau adalah Nurkhalis Anshari, pertama kali menduduki kursi dewan sejak berusia 28 tahun, ia sudah menyandang status sebagai Anggota DPRD Kota Banjarbaru dari Partai Keadilan Sejahtera (PKS), tepatnya di tahun 2014 yang lalu.

Berselang lima tahun berikutnya di Pileg 2019, ia kembali sukses melenggang ke parlemen dengan suara terbanyak (2.748 sua... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Landasan Ulin Guntung Manggis 1,MBG di Banjarbaru Menyasar Balita dan Bumil Posyandu,Kanal Kalimantan,"Mon, 22 Dec 2025 08:00:00 GMT",https://www.kanalkalimantan.com/mbg-di-banjarbaru-menyasar-balita-dan-bumil-posyandu/,"KANALKALIMANTAN.COM, BANJARBARU – Posyandu Komplek Griya Pesona Bhayangkara, Kelurahan Guntung Manggis, Kecamatan Landasan Ulin, Kota Banjarbaru, menjadi penerima manfaat dari program Makan Bergizi Gratis (MBG), Senin (22/12/2025) siang.

Untuk kali pertama di Kota Banjarbaru, dapur MBG memperluas manfaat program untuk bayi di bawah lima tahun (Balita), bayi di bawah dua tahun (Baduta), ibu hamil (Bumil), dan ibu menyusui melalui Posyandu yang digelar rutin setiap bulan.

Satuan Pemenuhan Pelaya... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Landasan Ulin Guntung Manggis 1,Dapur MBG di Guntung Manggis Dikeluhkan Warga Akibat Kebisingan Dini Hari,Habar Kalimantan,"Sat, 13 Dec 2025 08:00:00 GMT",https://habarkalimantan.com/dapur-mbg-di-guntung-manggis-dikeluhkan-warga-akibat-kebisingan-dini-hari/,"Banjarbaru – Keberadaan Dapur Makanan Bergizi Gratis (MBG) yang berlokasi di Jalan Galaksi, Kelurahan Guntung Manggis, Kecamatan Landasan Ulin, Kota Banjarbaru, menuai keluhan dari warga sekitar.

Hal tersebut muncul akibat kebisingan yang ditimbulkan aktivitas dapur pada dini hari, yang dinilai mengganggu waktu istirahat masyarakat.

Keluhan ini disampaikan sejumlah warga pada Sabtu (13/12/2025). Mereka menyebut aktivitas memasak yang dilakukan menimbulkan suara bising yang cukup terasa, teruta... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Landasan Ulin Guntung Manggis 1,Polres Banjarbaru Tindak Lanjuti Laporan Balap Liar.,polresbanjarbaru.org,"Tue, 07 Oct 2025 07:00:00 GMT",https://polresbanjarbaru.org/polres-banjarbaru-tindak-lanjuti-laporan-balap-liar/,"Banjarbaru – Menindak Lanjuti laporan masyarakat melalui Call Center 110 Polri, terkait adanya aksi balap liar di Kel. Guntung Manggis Kec. Landasan Ulin Kota Banjarbaru. Minggu (05/10/2025)

Personel gabungan dari Polres Banjarbaru dan Polsek Liang Anggang melakukan blokade jalan dan berhasil mengamankan Belasan roda dua yang diduga melakukan aksi balap liar dan didapati rata – rata menggunakan knalpot brong.

Selanjutnya belasan roda dua tersebut dilakukan tindakan berupa tilang dan diamankan ... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Landasan Ulin Guntung Manggis 1,"Banjir di Banjarbaru Meluas, 2.300 Jiwa Terdampak",Poros Kalimantan,"Mon, 05 Jan 2026 08:00:00 GMT",https://poroskalimantan.com/banjir-di-banjarbaru-meluas-2-300-jiwa-terdampak/,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://poroskalimantan.com/banjir-di-banjarbaru-meluas-2-300-jiwa-terdampak/]
